method,sc_folder,day,num_scenarios,num_stages,in_sample_prediction,path,num_nodes,num_tree_stages,num_leaf_nodes,avg_nodes_per_stage,max_nodes_per_stage,avg_leaf_group_size,max_leaf_group_size,prob_min,prob_max,prob_std,prob_entropy_norm,effective_num_scenarios
dif_ren,110,30,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_30.json,5478,103,95,53.18446601941748,95,1.1578947368421053,8,0.00909090909090909,0.07272727272727272,0.0072626472578029766,0.974076435346843,64.36170212765958
dif_ren,110,31,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_31.json,7259,103,98,70.47572815533981,98,1.1224489795918366,6,0.00909090909090909,0.05454545454545454,0.005237697296286865,0.9835996697269173,77.56410256410255
dif_ren,110,4,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_4.json,6314,103,92,61.300970873786405,92,1.1956521739130435,6,0.00909090909090909,0.05454545454545454,0.006177272572366712,0.9774641079374727,69.54022988505747
dif_ren,110,5,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_5.json,7674,103,107,74.50485436893204,107,1.02803738317757,3,0.00909090909090909,0.02727272727272727,0.0019485717826983374,0.996808507536805,102.54237288135593
dif_ren,110,6,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_6.json,5308,103,102,51.53398058252427,102,1.0784313725490196,4,0.00909090909090909,0.03636363636363636,0.00352923170645692,0.9907732791925035,90.29850746268659
dif_ren,110,7,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_7.json,6606,103,100,64.13592233009709,100,1.1,5,0.00909090909090909,0.045454545454545456,0.0043598468393752,0.9873579164375168,84.02777777777779
dif_ren,110,8,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_8.json,5602,103,91,54.38834951456311,91,1.2087912087912087,4,0.00909090909090909,0.03636363636363636,0.005799370738741256,0.9784627263558178,71.17647058823529
dif_ren,110,9,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_9.json,5689,103,91,55.23300970873787,91,1.2087912087912087,8,0.00909090909090909,0.07272727272727272,0.007917988899274468,0.9690266467625609,59.90099009900992
dif_ren,120,1,120,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_120/results_1.json,6620,103,94,64.27184466019418,94,1.2765957446808511,10,0.008333333333333333,0.08333333333333333,0.008965742467922361,0.9608195935251692,54.961832061068684
dif_ren,120,10,120,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_120/results_10.json,7640,103,108,74.1747572815534,108,1.1111111111111112,3,0.008333333333333333,0.025,0.003273642505493276,0.9901006354158199,95.99999999999997
