ren_type,branch,num_scenarios_folder,scenario_dir,lane,pinned_cores,concurrency_lanes,threads_per_solve,pid,hostname,loadavg_1min_start,loadavg_1min_end,num_scenarios_original,num_scenarios_reduced,num_scenarios_in_model,preprocess_time_s,build_instance_time_s,solve_time_s,wall_time_total_s,solver_status,termination_condition,solver_message,solver_wallclock_time_s,num_variables,num_constraints,num_binary_vars,num_integer_vars,lower_bound,upper_bound,gurobi_nodes_explored,gurobi_simplex_iterations,gurobi_best_objective,gurobi_best_bound,gurobi_gap_pct,obj_fun,obj_DA_income,obj_RM_income,obj_IM_income,obj_IB_income,obj_IB_costs,obj_IB_net,obj_FD_costs,results_dir,solver_log_path,status,error,method,time_limit_s,method_label,reduction_ratio,solve_time_per_scenario_s
same_ren,15min_ren_same,230,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc230_15min_same_ren,3,"12,13,14,15",16,4,4017887,azathoth,13.34814453125,27.6923828125,230,77,77.0,1.5855939388275146,0.7009596824645996,80.53203630447388,101.29219818115234,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,207208.0,893558.0,22176.0,22176.0,-21507.248801347632,-21506.9522532256,1,154724,-21507.24880135,-21506.95225323,0.0014,-21507.248801347643,-35157.633703427025,6611.159223246349,7235.91733409364,161.02600166601977,266.8748846005644,-105.8488829345446,90.84277232601175,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc230_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc230_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.3347826086956522,1.0458706013568035
same_ren,15min_ren_same,240,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc240_15min_same_ren,0,"0,1,2,3",16,4,4017876,azathoth,15.8828125,35.669921875,240,93,93.0,1.7032394409179688,0.8009066581726074,165.97940754890442,190.43763303756717,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,250264.0,1257798.0,26784.0,26784.0,-21644.549062250284,-21644.549062250284,1,187351,-21644.54906225,-21644.54906225,0.0,-21644.54906272616,-34367.79020426257,6579.869158136169,6379.093704500584,163.95841879319264,309.56026696433645,-145.6018481711438,90.11987292917397,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc240_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc240_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.3875,1.7847248123538109
same_ren,15min_ren_same,250,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc250_15min_same_ren,5,"20,21,22,23",16,4,4017882,azathoth,17.89453125,28.3486328125,250,78,78.0,1.741718292236328,0.7482244968414307,85.4331738948822,107.27997851371764,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,209899.0,919464.0,22464.0,22464.0,-21886.831866209064,-21886.829826164387,1,155671,-21886.83186621,-21886.82982616,0.0,-21886.831859098824,-36521.47126524816,6448.69713159961,8385.216608366147,159.8206213495879,267.77207447935257,-107.95145312976469,91.32288068642724,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc250_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc250_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.312,1.0952971012164385
same_ren,15min_ren_same,260,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc260_15min_same_ren,2,"8,9,10,11",16,4,4017884,azathoth,17.89453125,34.04931640625,260,97,97.0,1.817469835281372,0.8389830589294434,138.41493725776672,164.45231890678406,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,261028.0,1351742.0,27936.0,27936.0,-21299.2851140908,-21299.270141282097,1,196091,-21299.28511409,-21299.27014128,0.0001,-21299.28511417757,-36472.5458914694,6300.554343552749,9037.975405136778,188.4773260646104,264.09642453262177,-75.61909846801137,89.64987293007485,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc260_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc260_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.3730769230769231,1.4269581160594507
same_ren,15min_ren_same,270,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc270_15min_same_ren,1,"4,5,6,7",16,4,4017881,azathoth,19.5849609375,35.078125,270,93,93.0,1.9034366607666016,0.8310344219207764,169.95184564590454,195.8134291172028,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,250264.0,1260374.0,26784.0,26784.0,-21931.78552413672,-21931.78398529892,1,193853,-21931.78552414,-21931.7839853,0.0,-21931.78552413664,-34195.46476235794,6414.028311088706,6019.881857818165,149.38759251783895,229.3801772555377,-79.99258473769873,90.2383459478184,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc270_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc270_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.34444444444444444,1.8274392004935973
same_ren,15min_ren_same,280,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc280_15min_same_ren,6,"24,25,26,27",16,4,4017889,azathoth,22.10302734375,34.890625,280,89,89.0,1.9437847137451167,0.8384082317352295,136.6706051826477,161.89827299118042,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,239500.0,1157598.0,25632.0,25632.0,-21981.33362301977,-21981.316756632867,1,180248,-21981.33362302,-21981.31675663,0.0001,-21981.333602049606,-34035.243256017435,6306.69826651848,5916.475862310511,175.5850737913885,255.03280110257276,-79.44772731118422,89.81674755024567,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc280_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc280_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.31785714285714284,1.5356247773331202
same_ren,15min_ren_same,290,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc290_15min_same_ren,7,"28,29,30,31",16,4,4017885,azathoth,22.10302734375,35.5712890625,290,101,101.0,2.0384461879730225,0.9018275737762452,180.76404452323916,209.44200229644773,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,271792.0,1453130.0,29088.0,29088.0,-22154.89296572712,-22154.882611137728,1,217201,-22154.89296573,-22154.88261114,0.0,-22154.892965732437,-35112.63802991811,6214.55127129856,6929.5829119736245,170.92245558513184,267.6061507522056,-96.68369516707378,89.70542391936243,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc290_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc290_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.3482758620689655,1.7897430150815758
same_ren,15min_ren_same,300,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc300_15min_same_ren,10,"40,41,42,43",16,4,4017886,azathoth,23.21630859375,34.99169921875,300,104,104.0,2.082560539245605,0.9345648288726808,153.9142680168152,184.01520466804504,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,279865.0,1536220.0,29952.0,29952.0,-22026.522714752085,-22026.447566123985,1,206954,-22026.52271475,-22026.44756612,0.0003,-22026.52271475209,-36090.05196363429,6077.763525475469,8102.374365984162,190.88807317217385,217.0552830345053,-26.167209862331447,90.4414327152027,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc300_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc300_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.3466666666666667,1.4799448847770693
same_ren,15min_ren_same,310,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc310_15min_same_ren,9,"36,37,38,39",16,4,4017888,azathoth,24.720703125,35.9267578125,310,99,99.0,2.140516519546509,0.9147768020629884,183.04921793937683,212.37897729873657,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,266410.0,1389242.0,28512.0,28512.0,-21526.95751043224,-21526.942164195007,1,201257,-21526.95751043,-21526.9421642,0.0001,-21526.957510445107,-34784.14038693004,6270.670480293573,7134.67866162217,183.17942560707635,241.74480872928967,-58.56538312221332,89.60088230843245,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc310_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc310_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.3193548387096774,1.8489819993876448
same_ren,15min_ren_same,320,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc320_15min_same_ren,14,"56,57,58,59",16,4,4017880,azathoth,24.7431640625,37.708984375,320,110,110.0,2.2937729358673096,0.9981920719146729,239.94479131698608,272.9939692020416,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,296011.0,1662652.0,31680.0,31680.0,-21721.807070773106,-21721.75448349374,1,239775,-21721.80707077,-21721.75448349,0.0002,-21721.807070745395,-34391.00469761101,5969.432587490752,6858.496414949544,217.18891989095127,285.21088616324806,-68.0219662722968,90.70940930225105,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc320_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc320_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.34375,2.1813162846998737
same_ren,15min_ren_same,330,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc330_15min_same_ren,12,"48,49,50,51",16,4,4017893,azathoth,24.92431640625,37.8505859375,330,125,125.0,2.310507535934448,1.0827436447143557,268.90447878837585,305.3692398071289,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,336376.0,2089486.0,36000.0,36000.0,-21886.74214643373,-21886.6875368358,1,274167,-21886.74214643,-21886.68753684,0.0002,-21886.74214641552,-34067.00440994772,5921.409006237116,6426.515461843486,173.85600154396246,253.204924395434,-79.34892285147154,88.31328169619701,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc330_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc330_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.3787878787878788,2.151235830307007
same_ren,15min_ren_same,340,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc340_15min_same_ren,8,"32,33,34,35",16,4,4017890,azathoth,24.92431640625,37.49462890625,340,104,104.0,2.3684093952178955,1.0114407539367676,212.31088995933533,244.47962284088132,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,279865.0,1546416.0,29952.0,29952.0,-21670.50003708968,-21670.25117459688,1,213275,-21670.50003709,-21670.2511746,0.0011,-21670.500037151574,-33994.390941745936,6126.466340600176,6348.992947732714,180.02885101508554,242.0671552609892,-62.038304245903646,89.53007949290892,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc340_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc340_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.3058823529411765,2.041450864993609
same_ren,15min_ren_same,350,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc350_15min_same_ren,11,"44,45,46,47",16,4,4017891,azathoth,25.0966796875,36.443359375,350,126,126.0,2.423774480819702,1.1183905601501465,276.98850989341736,314.34283924102783,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,339067.0,2154960.0,36288.0,36288.0,-21913.3277769912,-21913.3187012318,1,279923,-21913.32777699,-21913.31870123,0.0,-21913.32777699122,-33655.735408789464,5880.518844481308,6090.257622056297,119.26206132980226,258.9511011227951,-139.68903979299282,88.67979494627527,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc350_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc350_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.36,2.198321507090614
same_ren,15min_ren_same,360,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc360_15min_same_ren,13,"52,53,54,55",16,4,4017892,azathoth,26.0400390625,37.47802734375,360,129,129.0,2.5151398181915283,1.1616861820220947,300.43026089668274,340.3226718902588,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,347140.0,2217834.0,37152.0,37152.0,-21681.414334194316,-21681.381742645943,1,287837,-21681.41433419,-21681.38174265,0.0002,-21681.41433344161,-32056.820295072677,6174.417738851638,4314.0030826934535,171.05794118719103,196.1112091005604,-25.053267913369385,87.9615920004548,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc360_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc360_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.35833333333333334,2.3289167511370756
same_ren,15min_ren_same,370,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc370_15min_same_ren,15,"60,61,62,63",16,4,4017879,azathoth,26.65576171875,39.6669921875,370,125,125.0,2.568889617919922,1.1437461376190186,334.028279542923,372.8449678421021,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,336376.0,2084698.0,36000.0,36000.0,-21676.41036355177,-21676.40728309451,1,275216,-21676.41036355,-21676.40728309,0.0,-21676.410362818868,-34672.84890857061,6282.065829177939,6868.821013610921,190.8365847253586,257.35778162536974,-66.52119690001115,87.92710013736603,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc370_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc370_15min_same_ren/DA/ec/001/solver_log.txt,ok,,same_ren,7200,Same-Ren,0.33783783783783783,2.6722262363433837
